,DURG_Class,reporting_year,reporting_number,RF_MAE,CL_MAE,RF_MAE_after_8_period,CL_MAE_after_8_period,period
0,DURG_1,2010,1,9386.546081456147,22806.121519253582,5041.301787912296,2211.6460822728077,2010Q1
1,DURG_2,2010,1,203.0472039221277,17.729469477499094,162.05420361772212,35.45880405999819,2010Q1
2,DURG_3,2010,1,8257.646201121446,5882.092499477413,8086.672302506579,616.5133359478605,2010Q1
3,DURG_4,2010,1,2674.6314324730506,5771.53102122247,801.5564301675324,6263.858396030394,2010Q1
4,DURG_5,2010,1,1231.0072049999999,2526.525486229688,855.0399809999999,673.0485224481265,2010Q1
5,DURG_6,2010,1,18618.50263991471,12236.459818111442,8816.165916397902,2848.2281079655295,2010Q1
6,DURG_7,2010,1,2430.3377726268286,2059.1007315426777,1508.2731402536583,338.8539180387261,2010Q1
7,DURG_8,2010,1,78.59369811390047,0.0,78.7222980357656,0.0,2010Q1
8,DURG_9,2010,1,4986.042586668252,5122.236141536772,4538.951838336504,788.3136615733283,2010Q1
9,DURG_10,2010,1,2384.875620490581,1185.155052411763,1477.0164070751005,564.1821865105001,2010Q1
10,DURG_1,2010,2,9572.202526273742,13731.121380956973,5412.614677547488,1942.4502130363726,2010Q2
11,DURG_2,2010,2,132.2781998693285,9.84113937068495,86.0437462291014,19.68215551084404,2010Q2
12,DURG_3,2010,2,7971.735269754395,835.3523728604846,7619.652403717905,682.0060163353637,2010Q2
13,DURG_4,2010,2,2560.013422654535,840.8762036150916,1024.3228876202647,6.804014248665453,2010Q2
14,DURG_5,2010,2,1231.0072049999999,1069.4233157352735,855.0399809999999,567.3438950677705,2010Q2
15,DURG_6,2010,2,18511.25517361398,4634.0400343907495,8741.42113024204,3180.30692900304,2010Q2
16,DURG_7,2010,2,2433.710674991428,1340.7267793893611,1515.0189449828567,538.951759725278,2010Q2
17,DURG_8,2010,2,80.05340969416653,0.0,80.06821933354172,0.0,2010Q2
18,DURG_9,2010,2,5065.970182903393,5965.576001124486,4698.807030806788,200.7870762987859,2010Q2
19,DURG_10,2010,2,2207.41675981149,805.8865766760582,1194.0884812730949,504.8684975085944,2010Q2
20,DURG_1,2010,3,8668.850705396004,18904.401251096475,3605.911035792011,1937.420848786136,2010Q3
21,DURG_2,2010,3,94.7045398013164,12.367494718283789,51.6372734818938,24.734865197941048,2010Q3
22,DURG_3,2010,3,7826.427737796167,1654.5266905166336,7320.17833586054,411.56215719060947,2010Q3
23,DURG_4,2010,3,2732.637242142986,1666.8264046939476,546.5407254291136,75.73416923567703,2010Q3
24,DURG_5,2010,3,1231.0072049999999,1410.5837486920966,855.0399809999999,378.2290518962727,2010Q3
25,DURG_6,2010,3,19391.03913670798,6045.358671314468,7808.263862867094,3807.4403198743894,2010Q3
26,DURG_7,2010,3,2327.121395353203,403.2676179840232,1301.8403857064068,507.4060197920817,2010Q3
27,DURG_8,2010,3,40.911527961937864,0.0,54.46185064057309,0.0,2010Q3
28,DURG_9,2010,3,4802.604776540085,4524.2119773526265,4172.076218080172,121.75592742702884,2010Q3
29,DURG_10,2010,3,2103.3437494428235,638.5887692818924,1105.6232744340598,348.11035540264925,2010Q3
30,DURG_1,2010,4,7695.675745384773,14425.81807111278,1659.5611157695494,2602.000734830992,2010Q4
31,DURG_2,2010,4,89.59769864299366,16.60166431903819,71.7702464822668,33.203232496538064,2010Q4
32,DURG_3,2010,4,7431.081770372499,2732.8712916439854,6705.290527289163,194.0717313560035,2010Q4
33,DURG_4,2010,4,2992.9766535730623,890.655290739572,98.48120588374167,58.53870174254075,2010Q4
34,DURG_5,2010,4,1231.0072049999999,1031.4132848618958,855.0399809999999,226.95978512265265,2010Q4
35,DURG_6,2010,4,16397.528323572427,2835.4720478579166,4960.13264376724,1753.5156326950055,2010Q4
36,DURG_7,2010,4,2119.1516006060688,997.0305692159322,885.9007962121386,499.53031071143687,2010Q4
37,DURG_8,2010,4,35.0307522119582,0.0,42.3827992144264,0.0,2010Q4
38,DURG_9,2010,4,4303.464173439048,2587.472548626324,3173.7950118780964,437.4311185868564,2010Q4
39,DURG_10,2010,4,2049.1307610904278,491.86876691599264,1016.7807838154279,250.67597753235964,2010Q4
40,DURG_1,2011,1,7680.225677478224,20920.45928121801,5547.444910000002,6734.767321735821,2011Q1
41,DURG_2,2011,1,112.21807204021381,15.785864141314745,86.05856281567824,31.571616707842256,2011Q1
