,DURG_Class,reporting_year,reporting_number,RF_MAE_with_premium,RF_MAE_after_8_period_with_premium,CL_MAE_with_premium,CL_MAE_after_8_period_with_premium,period
0,DURG_1,2014,1,25108.132988779907,17844.199919125982,10958.908485547174,2744.10144308101,2014Q1
1,DURG_2,2014,1,45.12877991183542,2.559805834050104,0.0,0.0,2014Q1
2,DURG_3,2014,1,3207.4051623485075,2715.3808675741057,7727.30732337457,1601.7388682553756,2014Q1
3,DURG_4,2014,1,2949.735910842992,305.37527018598394,66038.81104932234,791.2508512988534,2014Q1
4,DURG_5,2014,1,2076.3016912809244,1832.5618307809245,550.4882546470164,298.8231205352449,2014Q1
5,DURG_6,2014,1,17986.241216842936,5904.944744405077,12915.04938710031,2510.370265779986,2014Q1
6,DURG_7,2014,1,5389.22077034777,3698.720217847771,6101.055376114175,603.8964432657085,2014Q1
7,DURG_8,2014,1,79.23997692249999,0.68533698,79.2399710575,0.68533698,2014Q1
8,DURG_9,2014,1,6014.6039921853,4231.050826720915,2317.7033816348794,777.4177910936369,2014Q1
9,DURG_10,2014,1,943.6253975675587,912.3836734036075,1486.3753919952967,195.3720492192274,2014Q1
10,DURG_1,2014,2,24750.941505148818,17129.816951863802,7869.606963167544,3956.1442973474695,2014Q2
11,DURG_2,2014,2,42.758883593119286,2.5598046489410726,0.0,0.0,2014Q2
12,DURG_3,2014,2,3196.881102715768,2709.2213713883884,6664.19309300496,1222.363395732178,2014Q2
13,DURG_4,2014,2,2948.950541838651,303.80453217730246,4209.56284549565,201.8124700134922,2014Q2
14,DURG_5,2014,2,2076.3016912809244,1832.5618307809245,1562.094941194465,193.4606246642361,2014Q2
15,DURG_6,2014,2,12149.989604752602,5904.944744405077,6167.581372370917,1931.1189571015257,2014Q2
16,DURG_7,2014,2,5386.982731995861,3696.4821794958625,1273.0644509081758,716.8433579317498,2014Q2
17,DURG_8,2014,2,79.23997692249999,0.68533698,79.2399710575,0.68533698,2014Q2
18,DURG_9,2014,2,5816.2947809555935,4031.40014738528,1043.8303106223304,417.2886211924533,2014Q2
19,DURG_10,2014,2,830.9510606701867,335.66042424486943,987.1308680599327,206.4827127372522,2014Q2
20,DURG_1,2014,3,18266.998277715116,3689.2018110235367,4397.593487725917,3355.7978696323516,2014Q3
21,DURG_2,2014,3,42.62199474301613,2.2068772830353582,4.97988944236488e-06,0.0,2014Q3
22,DURG_3,2014,3,3300.2995394214813,2798.608530344496,4362.8626858168245,1361.1461036896726,2014Q3
23,DURG_4,2014,3,2714.733136563983,285.92086818826374,930.6808726593486,106.31141854433918,2014Q3
24,DURG_5,2014,3,1929.3610068717526,1685.6211463717527,1301.2543243076898,140.27032447939382,2014Q3
25,DURG_6,2014,3,11868.474062745332,5835.142292704402,3660.693269083459,321.38229780204165,2014Q3
26,DURG_7,2014,3,4152.373541207373,2476.9670374350117,1483.5285559864615,825.4568496404718,2014Q3
27,DURG_8,2014,3,76.83445982784338,9.744502613171813,79.2399710575,0.68533698,2014Q3
28,DURG_9,2014,3,5447.850785027975,3604.8721204590206,750.0733262843239,679.3065023597801,2014Q3
29,DURG_10,2014,3,773.5564334173448,329.3589943337862,433.52410146509015,214.29613620543353,2014Q3
30,DURG_1,2014,4,17917.822071455445,3046.846665348119,3536.2736615467493,1154.85127501663,2014Q4
31,DURG_2,2014,4,145.7566834329995,128.7473100672135,8.764605418562192,0.0,2014Q4
32,DURG_3,2014,4,2989.569500071949,2119.697644734926,2842.3865850513193,512.7955742297436,2014Q4
33,DURG_4,2014,4,3119.5073395502404,237.99590923716187,138.43884738937982,88.6127857206875,2014Q4
34,DURG_5,2014,4,1699.0744067719402,1456.33851893675,943.6245753688747,177.41877212233794,2014Q4
35,DURG_6,2014,4,6371.134085704807,6177.178005427151,3727.719687519385,1024.1556547867604,2014Q4
36,DURG_7,2014,4,3626.476600578141,2251.8998490847916,927.0686547382129,476.88369126391444,2014Q4
37,DURG_8,2014,4,55.88463336769999,9.205237570399971,79.23996838522221,0.68532525,2014Q4
38,DURG_9,2014,4,5363.149899436016,3465.558258672509,1510.4472106299486,119.78725903885106,2014Q4
39,DURG_10,2014,4,974.3054969675784,631.4949940980717,668.8747908123846,39.723053151012095,2014Q4
40,DURG_1,2015,1,10047.229948710881,2835.554595000005,12394.85444816553,2954.2139630741185,2015Q1
41,DURG_2,2015,1,125.04966948687803,86.08406330327581,8.764605418562192,0.0,2015Q1
42,DURG_3,2015,1,5964.019032619668,2449.283924027377,4421.731245744206,2133.5428331741787,2015Q1
43,DURG_4,2015,1,5323.0117604711895,499.35457927422067,830.3239219967093,51.18421954147561,2015Q1
44,DURG_5,2015,1,2410.886520280025,2756.470853780025,35643.663962042025,617.9305762894137,2015Q1
45,DURG_6,2015,1,8902.539693171331,10448.612957285524,12724.641162241149,3086.3278232924604,2015Q1
46,DURG_7,2015,1,2946.6140057689117,4841.6800865378245,5660.886375628393,756.2074986849402,2015Q1
47,DURG_8,2015,1,70.96965567268138,11.759988330362779,4.113528142128866,0.68532525,2015Q1
48,DURG_9,2015,1,6275.273505055315,6296.900071281219,6278.705333549972,365.6601519523981,2015Q1
49,DURG_10,2015,1,1270.6414877811785,1410.2462197500677,862.1848456994201,153.24425388950385,2015Q1
50,DURG_1,2015,2,11715.847179286846,2835.554595000005,11609.100494324508,2750.476615676409,2015Q2
51,DURG_2,2015,2,132.33465143918335,90.13279894073672,83.99757315129833,0.0,2015Q2
52,DURG_3,2015,2,5835.717298359795,2192.6804555076305,2527.990760231378,1241.1954382479562,2015Q2
53,DURG_4,2015,2,5322.139482345467,497.61002302277575,386.51768939892264,62.18562680840478,2015Q2
54,DURG_5,2015,2,2410.886520280025,2756.470853780025,7045.9156014987075,409.1260912278358,2015Q2
55,DURG_6,2015,2,8868.807042902932,10392.759579971582,7834.031154946245,2704.9734703456706,2015Q2
56,DURG_7,2015,2,2939.335308514983,4827.122692029967,949.3268671267206,583.5939080100288,2015Q2
57,DURG_8,2015,2,69.54889755332617,8.91847209165235,4.113528142128866,0.68532525,2015Q2
58,DURG_9,2015,2,5974.266632410551,5740.34078652916,928.8224559693977,158.2629461984725,2015Q2
59,DURG_10,2015,2,1205.2508036900367,1279.464851567784,808.1623330785764,123.22904700902313,2015Q2
60,DURG_1,2015,3,14278.070215420741,2830.501664367079,6980.858600538821,3040.3923657065643,2015Q3
61,DURG_2,2015,3,144.58255701993207,106.11324781992775,78.56922736704537,0.0,2015Q3
62,DURG_3,2015,3,5582.730218944182,2003.1492908950077,1526.1815325244202,1118.2276244055138,2015Q3
63,DURG_4,2015,3,3517.959921573097,573.6351081714356,586.7884959789749,76.1557386600548,2015Q3
64,DURG_5,2015,3,2338.1025752720498,2642.3773585441004,1996.7911852294835,741.9921409012204,2015Q3
65,DURG_6,2015,3,8995.273175312863,10622.817400625729,3913.3483984381182,675.8658069041958,2015Q3
66,DURG_7,2015,3,2587.6587137531205,4123.769502506242,1625.2218666327672,612.4729486251344,2015Q3
