DURG_CLASS,REPORTING_PERIOD,YOA,CURRENCY_CODE,IW Total Premium Paid,Total Claims Paid,Total Claims Outstandings,Total Claims Incurred,Catastrophe Paid,Catastrophe Incurred,Large Loss Paid,Large Loss Incurred,Non-Cat Incurred
DURG_1,2013Q04,2010,CCY_1,85069300.87,-74730957.53,-13875557.2,-88606514.73,-5902748.489,-7051291.298,-6531098.748,-14568539.79,-81555223.43
DURG_3,2010Q04,2005,CCY_1,32459539.77,-26469949.53,-295353.2594,-26765302.79,-698583.974,-698810.0463,0,0,-26066492.74
DURG_4,2012Q01,2002,CCY_2,2403299.337,0,0,0,0,0,0,0,0
DURG_6,2013Q03,2004,CCY_3,23033382.6,-13284310.24,-285538.6042,-13569848.85,-63342.03519,-63342.03519,-4107891.43,-4107891.43,-13506506.81
DURG_7,2012Q03,2011,CCY_2,14991716.96,-4976606.773,-3719611.879,-8696218.652,0,0,0,0,-8696218.652
DURG_8,2013Q01,2011,CCY_1,13873536.14,-9197816.513,-235230.8863,-9433047.4,-9197816.525,-9433047.411,0,0,0.01173
DURG_3,2020Q01,2008,CCY_1,19355490.55,-14366197.89,-2624.81037,-14368822.7,-42951.52986,-42951.52986,0,0,-14325871.17
DURG_7,2014Q04,2014,CCY_1,28999544.89,-3604234.332,-2004215.354,-5608449.686,-3674.72748,-3674.72748,0,0,-5604774.959
DURG_8,2002Q01,2000,CCY_3,116418.209,-184.26657,-315.04434,-499.31091,0,0,0,0,-499.31091
DURG_2,2017Q02,2001,CCY_3,403746.3654,-142353.7551,0,-142353.7551,-142353.7786,-142353.7786,0,0,0.02346
DURG_4,2007Q01,2002,CCY_2,2403299.337,0,0,0,0,0,0,0,0
DURG_6,2017Q03,2002,CCY_3,24555848.08,-6918438.996,0,-6918438.996,-734640.0585,-734640.0585,-1234168.454,-1234168.454,-6183798.937
DURG_6,2007Q01,2006,CCY_1,102643336.6,-10357504.88,-22208653.21,-32566158.08,0,0,-6811617.991,-7757126.371,-32566158.08
DURG_1,2017Q03,2010,CCY_1,84897610.52,-92074548.47,-1971139.44,-94045687.91,-7152882.811,-7152882.811,-17762660.4,-19537513.79,-86892805.1
DURG_5,2016Q03,2016,CCY_1,2784535.598,-135007.174,-349614.386,-484621.56,0,0,0,0,-484621.56
DURG_6,2017Q01,2009,CCY_1,66609499.72,-42522975.38,-779632.9368,-43302608.31,-15139960.9,-15139960.9,-2540231.487,-2540231.487,-28162647.41
DURG_9,2015Q01,2015,CCY_1,1262271.177,423.53511,-135912.554,-135489.0189,32451.64323,-271.46739,0,0,-135217.5515
DURG_10,2016Q04,2002,CCY_1,5408351.299,-2170442.521,0,-2170442.521,0,0,0,0,-2170442.521
DURG_9,2019Q04,2019,CCY_2,53600096.73,-4655495.349,-10338389.96,-14993885.31,0,0,0,0,-14993885.31
DURG_9,2016Q03,2004,CCY_3,36694062.8,-33699447.89,-69980.2416,-33769428.13,-6620478.767,-6620478.767,-1181725.536,-1181725.536,-27148949.37
DURG_8,2012Q04,2006,CCY_3,240183.7146,0,0,0,0,0,0,0,0
DURG_1,2019Q02,2016,CCY_1,85456546.17,-74158303.17,-9042361.087,-83200664.26,-21183628.52,-24402798.64,0,0,-58797865.61
DURG_2,2018Q01,2003,CCY_3,535742.4601,0,0,0,0,0,0,0,0
DURG_9,2020Q02,2000,CCY_3,5462091.063,-6987408.827,0,-6987408.827,-175197.5557,-175197.5557,0,0,-6812211.271
DURG_10,2020Q02,2008,CCY_3,1598775.141,-864470.2205,-22201.32408,-886671.5446,0,0,0,0,-886671.5446
DURG_8,2016Q04,2015,CCY_1,6801564.384,0,-163.30506,-163.30506,0,0,0,0,-163.30506
DURG_7,2020Q03,2010,CCY_1,28725326.52,-18370291.01,-84084.78069,-18454375.79,-621946.7111,-621946.7111,0,0,-17832429.08
DURG_4,2017Q01,2010,CCY_2,7084220.927,-3322544.869,-4874.95281,-3327419.822,0,0,0,0,-3327419.822
DURG_5,2017Q01,2002,CCY_1,6973670.264,-1829913.219,-225913.8177,-2055827.037,0,0,0,0,-2055827.037
DURG_8,2018Q04,2001,CCY_3,225711.7802,-3824.64861,0,-3824.64861,0,0,0,0,-3824.64861
DURG_9,2008Q04,2005,CCY_2,34766224.87,-19202528.29,-2038104.825,-21240633.12,0,0,-2549606.877,-2559782.065,-21240633.12
DURG_7,2019Q03,2009,CCY_2,6487169.393,-5506700.499,0,-5506700.499,0,0,0,0,-5506700.499
DURG_6,2012Q01,2003,CCY_3,32632724.48,-8888683.014,-16688.82231,-8905371.837,-1667443.312,-1667443.312,-1135015.152,-1135015.152,-7237928.525
DURG_5,2010Q01,2009,CCY_1,7571052.759,-1305152.831,-650563.8525,-1955716.683,0,0,0,0,-1955716.683
DURG_7,2013Q03,2011,CCY_2,15174072.64,-8647338.475,-1570706.283,-10218044.76,0,0,0,0,-10218044.76
DURG_10,2009Q02,2006,CCY_1,14631108.16,-9288735.814,-3299287.118,-12588022.93,-6240647.995,-8642439.5,0,0,-3945583.432
DURG_9,2021Q01,2012,CCY_1,19927360.43,-6499661.609,-36703.65093,-6536365.26,-1892202.569,-1892202.569,0,0,-4644162.691
