,0,reporting_year,reporting_number
DURG_1,21441.37890625,2011,1
DURG_2,76.35592651367188,2011,1
DURG_3,1968.580078125,2011,1
DURG_4,15100.02734375,2011,1
DURG_5,4259.61279296875,2011,1
DURG_6,341.125,2011,1
DURG_7,9212.5283203125,2011,1
DURG_8,261.67193603515625,2011,1
DURG_9,1602.4287109375,2011,1
DURG_10,2190.191162109375,2011,1
DURG_1,204.96875,2011,1
DURG_2,0.07106297463178635,2011,1
DURG_3,10788.6474609375,2011,1
DURG_4,2876.211669921875,2011,1
DURG_5,8898.2431640625,2011,1
DURG_6,15035.3125,2011,1
DURG_7,9388.8955078125,2011,1
DURG_8,9.628332138061523,2011,1
DURG_9,30.0517578125,2011,1
DURG_10,919.70166015625,2011,1
DURG_1,37657.73046875,2011,1
DURG_2,0.6194087266921997,2011,1
DURG_3,6818.599609375,2011,1
DURG_4,1944.1033935546875,2011,1
DURG_5,7147.6142578125,2011,1
DURG_6,18520.3046875,2011,1
DURG_7,11999.126953125,2011,1
DURG_8,106.04299926757812,2011,1
DURG_9,2953.666015625,2011,1
DURG_10,563.2613525390625,2011,1
DURG_1,48255.05859375,2011,1
DURG_2,1.2031822204589844,2011,1
DURG_3,8076.095703125,2011,1
DURG_4,20529.095703125,2011,1
DURG_5,10053.525390625,2011,1
DURG_6,10435.9921875,2011,1
DURG_7,16096.345703125,2011,1
DURG_8,5.680695533752441,2011,1
DURG_9,3.212646484375,2011,1
DURG_10,2956.54345703125,2011,1
DURG_1,13262.78515625,2011,2
DURG_2,43.36957931518555,2011,2
DURG_3,1705.455078125,2011,2
DURG_4,15085.2060546875,2011,2
DURG_5,4974.24609375,2011,2
DURG_6,1069.32421875,2011,2
DURG_7,9559.255859375,2011,2
DURG_8,257.7115173339844,2011,2
DURG_9,10517.50390625,2011,2
DURG_10,2649.167724609375,2011,2
DURG_1,1218.6015625,2011,2
DURG_2,0.24804654717445374,2011,2
DURG_3,13341.9228515625,2011,2
DURG_4,2959.350830078125,2011,2
DURG_5,8639.5341796875,2011,2
DURG_6,15072.015625,2011,2
DURG_7,8957.23046875,2011,2
DURG_8,0.7512073516845703,2011,2
DURG_9,636.00146484375,2011,2
DURG_10,450.100830078125,2011,2
DURG_1,1707.5390625,2011,2
DURG_2,1.3159185647964478,2011,2
DURG_3,8915.814453125,2011,2
DURG_4,2314.17333984375,2011,2
DURG_5,7187.07421875,2011,2
DURG_6,14028.203125,2011,2
DURG_7,12127.001953125,2011,2
DURG_8,111.1231689453125,2011,2
DURG_9,2330.291015625,2011,2
DURG_10,371.2706298828125,2011,2
DURG_1,48201.234375,2011,2
DURG_2,0.9501709938049316,2011,2
DURG_3,6691.6171875,2011,2
DURG_4,20324.998046875,2011,2
DURG_5,9845.9052734375,2011,2
DURG_6,11160.65625,2011,2
DURG_7,16015.6240234375,2011,2
DURG_8,2.1828341484069824,2011,2
DURG_9,200.449462890625,2011,2
DURG_10,3143.538330078125,2011,2
DURG_1,10456.57421875,2011,3
DURG_2,74.6905517578125,2011,3
DURG_3,1753.833984375,2011,3
DURG_4,15041.486328125,2011,3
DURG_5,2928.484375,2011,3
DURG_6,1836.26171875,2011,3
DURG_7,9364.529296875,2011,3
DURG_8,259.78753662109375,2011,3
DURG_9,3883.0927734375,2011,3
DURG_10,2032.168701171875,2011,3
DURG_1,2354.875,2011,3
DURG_2,0.37904468178749084,2011,3
DURG_3,12697.8544921875,2011,3
DURG_4,3008.114501953125,2011,3
DURG_5,8108.34765625,2011,3
DURG_6,19848.830078125,2011,3
DURG_7,9097.6259765625,2011,3
DURG_8,5.870759010314941,2011,3
DURG_9,323.7861328125,2011,3
DURG_10,1376.732421875,2011,3
DURG_1,1555.5234375,2011,3
DURG_2,0.6619892716407776,2011,3
DURG_3,12129.498046875,2011,3
DURG_4,1796.590087890625,2011,3
DURG_5,6771.96630859375,2011,3
DURG_6,14007.00390625,2011,3
DURG_7,11220.515625,2011,3
DURG_8,94.28034210205078,2011,3
DURG_9,1794.47021484375,2011,3
DURG_10,391.2078857421875,2011,3
DURG_1,47013.140625,2011,3
DURG_2,1.2839593887329102,2011,3
DURG_3,5849.333984375,2011,3
DURG_4,20302.4921875,2011,3
DURG_5,10134.0146484375,2011,3
DURG_6,10906.8984375,2011,3
DURG_7,15801.2861328125,2011,3
DURG_8,2.1181395053863525,2011,3
DURG_9,729.408203125,2011,3
DURG_10,3161.5576171875,2011,3
DURG_1,20968.61328125,2011,4
DURG_2,38.12520217895508,2011,4
DURG_3,2650.115234375,2011,4
DURG_4,14958.4287109375,2011,4
DURG_5,4048.619873046875,2011,4
DURG_6,892.48046875,2011,4
DURG_7,9911.982421875,2011,4
DURG_8,270.68536376953125,2011,4
DURG_9,7490.77001953125,2011,4
DURG_10,2008.398193359375,2011,4
DURG_1,18076.1328125,2011,4
DURG_2,0.5767190456390381,2011,4
DURG_3,12270.6142578125,2011,4
DURG_4,2828.0888671875,2011,4
DURG_5,7432.3720703125,2011,4
DURG_6,14013.05078125,2011,4
DURG_7,11053.564453125,2011,4
DURG_8,2.1099331378936768,2011,4
DURG_9,1548.169677734375,2011,4
DURG_10,1388.275634765625,2011,4
DURG_1,716.71875,2011,4
DURG_2,0.5199784636497498,2011,4
DURG_3,13586.6015625,2011,4
DURG_4,2209.91650390625,2011,4
DURG_5,7183.634765625,2011,4
DURG_6,17366.890625,2011,4
DURG_7,10963.349609375,2011,4
DURG_8,102.99498748779297,2011,4
DURG_9,1741.7041015625,2011,4
DURG_10,518.5008544921875,2011,4
DURG_1,43440.3515625,2011,4
DURG_2,0.6765514016151428,2011,4
DURG_3,5103.4140625,2011,4
DURG_4,20031.072265625,2011,4
DURG_5,10117.2529296875,2011,4
DURG_6,11562.314453125,2011,4
DURG_7,15819.9931640625,2011,4
DURG_8,2.040297746658325,2011,4
DURG_9,1526.19091796875,2011,4
DURG_10,3087.812255859375,2011,4
