,0,reporting_year,reporting_number
DURG_1,18507.76563,2014,1
DURG_2,0.208543837,2014,1
DURG_3,4204.914063,2014,1
DURG_4,6160.988281,2014,1
DURG_5,1663.26123,2014,1
DURG_6,29722.49609,2014,1
DURG_7,8144.060547,2014,1
DURG_8,259.9454651,2014,1
DURG_9,4342.416504,2014,1
DURG_10,1405.848267,2014,1
DURG_1,13637.77344,2014,1
DURG_2,0.423599333,2014,1
DURG_3,8090.678711,2014,1
DURG_4,5873.856445,2014,1
DURG_5,7208.189453,2014,1
DURG_6,12260.73047,2014,1
DURG_7,6319.866211,2014,1
DURG_8,0.680443525,2014,1
DURG_9,256.8657227,2014,1
DURG_10,685.7570801,2014,1
DURG_1,16165.76563,2014,1
DURG_2,0.302022666,2014,1
DURG_3,5739.511719,2014,1
DURG_4,1199.627319,2014,1
DURG_5,6526.23291,2014,1
DURG_6,21622.92383,2014,1
DURG_7,13347.3125,2014,1
DURG_8,105.4782791,2014,1
DURG_9,792.0649414,2014,1
DURG_10,2541.883301,2014,1
DURG_1,39199.67578,2014,1
DURG_2,0.475246996,2014,1
DURG_3,8051.804688,2014,1
DURG_4,19978.29492,2014,1
DURG_5,8920.810547,2014,1
DURG_6,7955.984375,2014,1
DURG_7,16200.3418,2014,1
DURG_8,2.105692387,2014,1
DURG_9,3002.658203,2014,1
DURG_10,2927.15332,2014,1
DURG_1,10032.10938,2014,2
DURG_2,0.633896351,2014,2
DURG_3,2910.833984,2014,2
DURG_4,8827.814453,2014,2
DURG_5,668.206543,2014,2
DURG_6,29834.63867,2014,2
DURG_7,10235.53027,2014,2
DURG_8,259.4211426,2014,2
DURG_9,5459.35791,2014,2
DURG_10,1485.136353,2014,2
DURG_1,19373.78906,2014,2
DURG_2,0.419303119,2014,2
DURG_3,6099.616211,2014,2
DURG_4,8912.493164,2014,2
DURG_5,7361.842773,2014,2
DURG_6,10615.1875,2014,2
DURG_7,6855.236328,2014,2
DURG_8,1.542716146,2014,2
DURG_9,140.5400391,2014,2
DURG_10,935.0975342,2014,2
DURG_1,2900.242188,2014,2
DURG_2,0.686062813,2014,2
DURG_3,3896.888672,2014,2
DURG_4,1006.896118,2014,2
DURG_5,6144.631836,2014,2
DURG_6,15164.29297,2014,2
DURG_7,10117.54688,2014,2
DURG_8,65.66550446,2014,2
DURG_9,731.340332,2014,2
DURG_10,761.1832275,2014,2
DURG_1,32955.9375,2014,2
DURG_2,0.302767456,2014,2
DURG_3,7741.132813,2014,2
DURG_4,18773.13867,2014,2
DURG_5,9012.900391,2014,2
DURG_6,9641.708984,2014,2
DURG_7,16898.10938,2014,2
DURG_8,0.321028292,2014,2
DURG_9,1940.26416,2014,2
DURG_10,2797.426514,2014,2
DURG_1,12621.57422,2014,3
DURG_2,0.475888729,2014,3
DURG_3,3054.765625,2014,3
DURG_4,8742.953125,2014,3
DURG_5,970.0200195,2014,3
DURG_6,30186.23438,2014,3
