,0,reporting_year,reporting_number
DURG_1,11518.25390625,2016,1
DURG_2,0.00032013520831242204,2016,1
DURG_3,3556.291015625,2016,1
DURG_4,11383.869140625,2016,1
DURG_5,232.984375,2016,1
DURG_6,4150.96875,2016,1
DURG_7,4302.017578125,2016,1
DURG_8,232.97267150878906,2016,1
DURG_9,926.218505859375,2016,1
DURG_10,839.361572265625,2016,1
DURG_1,13167.875,2016,1
DURG_2,163.12753295898438,2016,1
DURG_3,10262.7900390625,2016,1
DURG_4,10912.755859375,2016,1
DURG_5,7081.1220703125,2016,1
DURG_6,8498.5390625,2016,1
DURG_7,4511.359375,2016,1
DURG_8,772.7975463867188,2016,1
DURG_9,1.56884765625,2016,1
DURG_10,493.956298828125,2016,1
DURG_1,1954.81640625,2016,1
DURG_2,0.020137343555688858,2016,1
DURG_3,219.0439453125,2016,1
DURG_4,1165.7293701171875,2016,1
DURG_5,5871.7646484375,2016,1
DURG_6,16691.69921875,2016,1
DURG_7,11006.12109375,2016,1
DURG_8,106.5189437866211,2016,1
DURG_9,1999.75537109375,2016,1
DURG_10,958.5020751953125,2016,1
DURG_1,73869.8359375,2016,1
DURG_2,0.06814088672399521,2016,1
DURG_3,25731.447265625,2016,1
DURG_4,20953.265625,2016,1
DURG_5,12861.30078125,2016,1
DURG_6,41393.96875,2016,1
DURG_7,27374.16796875,2016,1
DURG_8,0.20000876486301422,2016,1
DURG_9,3477.927978515625,2016,1
DURG_10,5231.5458984375,2016,1
DURG_1,14758.0390625,2016,2
DURG_2,0.015173782594501972,2016,2
DURG_3,3205.900390625,2016,2
DURG_4,10829.029296875,2016,2
DURG_5,3.349609375,2016,2
DURG_6,3649.6484375,2016,2
DURG_7,5106.109375,2016,2
DURG_8,247.67137145996094,2016,2
DURG_9,1487.020751953125,2016,2
DURG_10,448.065673828125,2016,2
DURG_1,18028.48828125,2016,2
DURG_2,176.6924591064453,2016,2
DURG_3,10357.4638671875,2016,2
DURG_4,11764.9677734375,2016,2
DURG_5,5393.39306640625,2016,2
DURG_6,10474.2734375,2016,2
DURG_7,4400.826171875,2016,2
DURG_8,702.4653930664062,2016,2
DURG_9,469.2060546875,2016,2
DURG_10,433.193115234375,2016,2
DURG_1,480.28125,2016,2
DURG_2,0.0463111512362957,2016,2
DURG_3,924.0615234375,2016,2
DURG_4,1232.930908203125,2016,2
DURG_5,5782.56640625,2016,2
DURG_6,24098.1328125,2016,2
DURG_7,10353.0537109375,2016,2
DURG_8,106.18037414550781,2016,2
DURG_9,2758.23681640625,2016,2
DURG_10,657.1112060546875,2016,2
DURG_1,73740.2734375,2016,2
DURG_2,0.05371653288602829,2016,2
DURG_3,26015.16796875,2016,2
DURG_4,20871.984375,2016,2
DURG_5,12758.4521484375,2016,2
DURG_6,41136.3828125,2016,2
DURG_7,27704.556640625,2016,2
DURG_8,0.22875037789344788,2016,2
DURG_9,3501.534912109375,2016,2
DURG_10,5201.970703125,2016,2
DURG_1,11553.70703125,2016,3
DURG_2,0.21139517426490784,2016,3
DURG_3,2578.95703125,2016,3
DURG_4,11173.29296875,2016,3
DURG_5,425.41455078125,2016,3
DURG_6,1932.7578125,2016,3
DURG_7,5607.177734375,2016,3
DURG_8,255.8610076904297,2016,3
DURG_9,1098.789306640625,2016,3
DURG_10,356.633056640625,2016,3
DURG_1,14619.2109375,2016,3
DURG_2,175.08859252929688,2016,3
DURG_3,11180.0283203125,2016,3
DURG_4,11398.8857421875,2016,3
DURG_5,4645.6884765625,2016,3
DURG_6,16308.7265625,2016,3
DURG_7,3709.333984375,2016,3
DURG_8,757.6253051757812,2016,3
DURG_9,268.27978515625,2016,3
DURG_10,651.818603515625,2016,3
DURG_1,482.65234375,2016,3
DURG_2,0.04158954694867134,2016,3
DURG_3,3443.1279296875,2016,3
DURG_4,103.10791015625,2016,3
DURG_5,5441.5322265625,2016,3
DURG_6,25997.51171875,2016,3
DURG_7,9676.1044921875,2016,3
DURG_8,106.11949157714844,2016,3
DURG_9,1305.015625,2016,3
DURG_10,600.0858154296875,2016,3
DURG_1,74193.578125,2016,3
DURG_2,0.09231647849082947,2016,3
DURG_3,26142.8046875,2016,3
DURG_4,20932.154296875,2016,3
DURG_5,12899.3193359375,2016,3
DURG_6,41243.4296875,2016,3
DURG_7,27742.279296875,2016,3
DURG_8,0.21132974326610565,2016,3
DURG_9,3505.7119140625,2016,3
DURG_10,5228.28369140625,2016,3
DURG_1,12655.41015625,2016,4
DURG_2,0.045721385627985,2016,4
DURG_3,4198.423828125,2016,4
DURG_4,11093.521484375,2016,4
DURG_5,572.12158203125,2016,4
