,0,reporting_year,reporting_number
DURG_1,13007.29296875,2016,1
DURG_2,0.03379972651600838,2016,1
DURG_3,2034.439453125,2016,1
DURG_4,11274.712890625,2016,1
DURG_5,71.7998046875,2016,1
DURG_6,13482.859375,2016,1
DURG_7,3869.853515625,2016,1
DURG_8,162.4266357421875,2016,1
DURG_9,607.97216796875,2016,1
DURG_10,882.648681640625,2016,1
DURG_1,14033.58203125,2016,1
DURG_2,181.4305419921875,2016,1
DURG_3,9738.2353515625,2016,1
DURG_4,12960.7841796875,2016,1
DURG_5,6699.93701171875,2016,1
DURG_6,9435.65234375,2016,1
DURG_7,4190.1640625,2016,1
DURG_8,758.282470703125,2016,1
DURG_9,90.0673828125,2016,1
DURG_10,294.4365234375,2016,1
DURG_1,14863.4140625,2016,2
DURG_2,0.04681525006890297,2016,2
DURG_3,2767.845703125,2016,2
DURG_4,10865.53125,2016,2
DURG_5,71.6318359375,2016,2
DURG_6,3735.20703125,2016,2
DURG_7,4956.375,2016,2
DURG_8,245.74501037597656,2016,2
DURG_9,941.66650390625,2016,2
DURG_10,443.96240234375,2016,2
DURG_1,10866.22265625,2016,2
DURG_2,183.40269470214844,2016,2
DURG_3,9315.3916015625,2016,2
DURG_4,12467.2841796875,2016,2
DURG_5,6007.46923828125,2016,2
DURG_6,15612.39453125,2016,2
DURG_7,4086.634765625,2016,2
DURG_8,720.0670166015625,2016,2
DURG_9,198.755859375,2016,2
DURG_10,427.939208984375,2016,2
DURG_1,12430.48046875,2016,3
DURG_2,0.06404249370098114,2016,3
DURG_3,2721.564453125,2016,3
DURG_4,11306.7880859375,2016,3
DURG_5,665.80078125,2016,3
DURG_6,6645.09765625,2016,3
DURG_7,5598.109375,2016,3
DURG_8,261.3706970214844,2016,3
DURG_9,832.11572265625,2016,3
DURG_10,475.513671875,2016,3
DURG_1,17659.44921875,2016,3
DURG_2,147.05557250976562,2016,3
DURG_3,11433.0087890625,2016,3
DURG_4,11234.8349609375,2016,3
DURG_5,5272.03369140625,2016,3
DURG_6,12458.2578125,2016,3
DURG_7,3936.59765625,2016,3
DURG_8,760.0654296875,2016,3
DURG_9,709.7568359375,2016,3
DURG_10,149.470947265625,2016,3
DURG_1,10012.60546875,2016,4
DURG_2,0.3482895791530609,2016,4
DURG_3,4659.375,2016,4
DURG_4,11122.2783203125,2016,4
DURG_5,698.78662109375,2016,4
DURG_6,4947.24609375,2016,4
DURG_7,6188.1484375,2016,4
DURG_8,225.1034393310547,2016,4
DURG_9,1268.846435546875,2016,4
DURG_10,117.91552734375,2016,4
DURG_1,18449.01171875,2016,4
DURG_2,173.41555786132812,2016,4
DURG_3,11583.8505859375,2016,4
DURG_4,13635.4970703125,2016,4
DURG_5,5298.2421875,2016,4
DURG_6,8740.0,2016,4
DURG_7,3619.47265625,2016,4
DURG_8,722.3947143554688,2016,4
DURG_9,673.03173828125,2016,4
DURG_10,419.599609375,2016,4
DURG_1,7998.5,2017,1
DURG_2,152.4084014892578,2017,1
DURG_3,1746.703125,2017,1
DURG_4,3658.51953125,2017,1
DURG_5,555.13916015625,2017,1
DURG_6,3136.31640625,2017,1
DURG_7,2529.556640625,2017,1
DURG_8,465.32940673828125,2017,1
DURG_9,778.30322265625,2017,1
DURG_10,762.52392578125,2017,1
DURG_1,11851.3203125,2017,1
DURG_2,0.0018042875453829765,2017,1
DURG_3,1007.6513671875,2017,1
DURG_4,19.801513671875,2017,1
DURG_5,4411.4306640625,2017,1
DURG_6,11365.94921875,2017,1
DURG_7,2365.376953125,2017,1
DURG_8,0.06130853667855263,2017,1
DURG_9,680.00390625,2017,1
DURG_10,633.296875,2017,1
DURG_1,9135.07421875,2017,2
DURG_2,141.8832244873047,2017,2
DURG_3,1271.208984375,2017,2
DURG_4,67.078125,2017,2
DURG_5,568.0498046875,2017,2
DURG_6,3071.86328125,2017,2
DURG_7,3209.19921875,2017,2
DURG_8,469.60369873046875,2017,2
DURG_9,368.91015625,2017,2
DURG_10,245.096923828125,2017,2
DURG_1,15070.375,2017,2
DURG_2,0.06540372967720032,2017,2
DURG_3,1273.947265625,2017,2
DURG_4,25.928955078125,2017,2
DURG_5,4043.35498046875,2017,2
DURG_6,13169.712890625,2017,2
DURG_7,1415.13671875,2017,2
