,0,reporting_year,reporting_number
DURG_1,13585.89453125,2015,1
DURG_2,0.26955142617225647,2015,1
DURG_3,465.21875,2015,1
DURG_4,4577.2265625,2015,1
DURG_5,2250.5712890625,2015,1
DURG_6,13959.12109375,2015,1
DURG_7,1308.4296875,2015,1
DURG_8,260.250244140625,2015,1
DURG_9,1130.376953125,2015,1
DURG_10,1176.489990234375,2015,1
DURG_1,15861.30078125,2015,1
DURG_2,0.16777168214321136,2015,1
DURG_3,6732.8994140625,2015,1
DURG_4,735.452392578125,2015,1
DURG_5,7683.5712890625,2015,1
DURG_6,12781.39453125,2015,1
DURG_7,3830.775390625,2015,1
DURG_8,133.52745056152344,2015,1
DURG_9,622.71630859375,2015,1
DURG_10,1043.59716796875,2015,1
DURG_1,15574.1484375,2015,2
DURG_2,0.3017556369304657,2015,2
DURG_3,1198.248046875,2015,2
DURG_4,4589.3896484375,2015,2
DURG_5,821.8125,2015,2
DURG_6,14651.0546875,2015,2
DURG_7,5456.697265625,2015,2
DURG_8,260.2341003417969,2015,2
DURG_9,1018.2275390625,2015,2
DURG_10,989.77197265625,2015,2
DURG_1,11740.0625,2015,2
DURG_2,0.04085220769047737,2015,2
DURG_3,7424.2060546875,2015,2
DURG_4,648.18798828125,2015,2
DURG_5,7970.501953125,2015,2
DURG_6,11955.90234375,2015,2
DURG_7,48.7734375,2015,2
DURG_8,66.75270080566406,2015,2
DURG_9,1083.939208984375,2015,2
DURG_10,670.1591796875,2015,2
DURG_1,15593.5703125,2015,3
DURG_2,0.4727425277233124,2015,3
DURG_3,1222.791015625,2015,3
DURG_4,3291.5927734375,2015,3
DURG_5,2000.77734375,2015,3
DURG_6,13672.80078125,2015,3
DURG_7,5000.65234375,2015,3
DURG_8,258.7231750488281,2015,3
DURG_9,880.9345703125,2015,3
DURG_10,1065.63818359375,2015,3
DURG_1,10905.23828125,2015,3
DURG_2,0.19160333275794983,2015,3
DURG_3,9390.5576171875,2015,3
DURG_4,1038.23046875,2015,3
DURG_5,7423.07177734375,2015,3
DURG_6,19614.31640625,2015,3
DURG_7,1050.984375,2015,3
DURG_8,93.87008666992188,2015,3
DURG_9,1779.437744140625,2015,3
DURG_10,298.79150390625,2015,3
DURG_1,15172.296875,2015,4
DURG_2,0.10452749580144882,2015,4
DURG_3,2897.046875,2015,4
DURG_4,3853.4287109375,2015,4
DURG_5,842.169921875,2015,4
DURG_6,15464.0390625,2015,4
DURG_7,6721.765625,2015,4
DURG_8,261.5318298339844,2015,4
DURG_9,745.94970703125,2015,4
DURG_10,932.001220703125,2015,4
DURG_1,14420.99609375,2015,4
DURG_2,0.009867321699857712,2015,4
DURG_3,10961.4482421875,2015,4
DURG_4,1122.3798828125,2015,4
DURG_5,5671.9326171875,2015,4
DURG_6,17402.39453125,2015,4
DURG_7,3042.765625,2015,4
DURG_8,160.632568359375,2015,4
DURG_9,1405.7861328125,2015,4
DURG_10,583.85498046875,2015,4
DURG_1,15799.03515625,2016,1
DURG_2,0.12125208973884583,2016,1
DURG_3,1739.990234375,2016,1
DURG_4,10980.390625,2016,1
DURG_5,1018.9560546875,2016,1
DURG_6,5161.4375,2016,1
DURG_7,2525.28515625,2016,1
DURG_8,169.26763916015625,2016,1
DURG_9,705.009765625,2016,1
DURG_10,1006.794677734375,2016,1
DURG_1,15039.3515625,2016,1
DURG_2,182.78538513183594,2016,1
DURG_3,10680.2431640625,2016,1
DURG_4,13389.2197265625,2016,1
DURG_5,7706.64892578125,2016,1
DURG_6,8913.6875,2016,1
DURG_7,3250.353515625,2016,1
DURG_8,745.4986572265625,2016,1
DURG_9,11.82861328125,2016,1
DURG_10,409.67041015625,2016,1
DURG_1,12840.53515625,2016,2
DURG_2,0.04529699683189392,2016,2
DURG_3,2134.810546875,2016,2
DURG_4,11455.94140625,2016,2
DURG_5,932.75390625,2016,2
DURG_6,3747.4921875,2016,2
DURG_7,1798.17578125,2016,2
DURG_8,255.96946716308594,2016,2
DURG_9,914.471435546875,2016,2
DURG_10,1059.575439453125,2016,2
DURG_1,15642.921875,2016,2
DURG_2,170.70623779296875,2016,2
DURG_3,11396.4404296875,2016,2
DURG_4,13711.5458984375,2016,2
DURG_5,6701.375,2016,2
DURG_6,11280.453125,2016,2
DURG_7,2284.662109375,2016,2
DURG_8,734.2860107421875,2016,2
DURG_9,19.62939453125,2016,2
DURG_10,681.865966796875,2016,2
DURG_1,12302.84375,2016,3
DURG_2,0.09285209327936172,2016,3
DURG_3,2280.224609375,2016,3
DURG_4,11294.078125,2016,3
DURG_5,731.634765625,2016,3
DURG_6,1584.63671875,2016,3
DURG_7,2876.74609375,2016,3
DURG_8,249.88246154785156,2016,3
DURG_9,907.352294921875,2016,3
DURG_10,371.394287109375,2016,3
DURG_1,18446.38671875,2016,3
DURG_2,178.5845947265625,2016,3
DURG_3,9700.1044921875,2016,3
DURG_4,9872.880859375,2016,3
DURG_5,6098.37744140625,2016,3
DURG_6,14879.51953125,2016,3
DURG_7,1850.80859375,2016,3
DURG_8,734.1743774414062,2016,3
DURG_9,435.40087890625,2016,3
DURG_10,607.86474609375,2016,3
DURG_1,12516.82421875,2016,4
DURG_2,0.03062797151505947,2016,4
DURG_3,4408.400390625,2016,4
DURG_4,11137.6572265625,2016,4
DURG_5,640.18359375,2016,4
DURG_6,2787.296875,2016,4
DURG_7,4082.537109375,2016,4
DURG_8,211.525146484375,2016,4
DURG_9,880.59423828125,2016,4
DURG_10,38.295166015625,2016,4
DURG_1,17354.0390625,2016,4
DURG_2,165.77337646484375,2016,4
DURG_3,9913.6962890625,2016,4
DURG_4,13012.546875,2016,4
DURG_5,5836.2080078125,2016,4
DURG_6,15327.28515625,2016,4
DURG_7,2564.3984375,2016,4
DURG_8,746.26318359375,2016,4
DURG_9,480.8427734375,2016,4
DURG_10,759.858154296875,2016,4
DURG_1,13716.76953125,2017,1
DURG_2,162.0602264404297,2017,1
DURG_3,1445.390625,2017,1
DURG_4,1934.07421875,2017,1
DURG_5,786.0927734375,2017,1
DURG_6,3577.80859375,2017,1
DURG_7,3200.23046875,2017,1
DURG_8,484.91241455078125,2017,1
DURG_9,503.80419921875,2017,1
DURG_10,354.263671875,2017,1
DURG_1,10692.91796875,2017,1
DURG_2,0.04129582270979881,2017,1
DURG_3,2544.017578125,2017,1
DURG_4,427.15185546875,2017,1
DURG_5,7806.171875,2017,1
DURG_6,11516.4140625,2017,1
DURG_7,1530.7578125,2017,1
DURG_8,0.2214684933423996,2017,1
DURG_9,937.671630859375,2017,1
DURG_10,505.3125,2017,1
DURG_1,9551.0078125,2017,2
DURG_2,147.6416473388672,2017,2
DURG_3,2062.171875,2017,2
DURG_4,2595.92578125,2017,2
DURG_5,699.76123046875,2017,2
DURG_6,495.0859375,2017,2
DURG_7,2742.298828125,2017,2
DURG_8,470.8948974609375,2017,2
DURG_9,193.8779296875,2017,2
DURG_10,334.626220703125,2017,2
DURG_1,8220.17578125,2017,2
DURG_2,0.16591468453407288,2017,2
DURG_3,3780.42041015625,2017,2
DURG_4,330.984619140625,2017,2
DURG_5,3336.365234375,2017,2
DURG_6,11678.294921875,2017,2
DURG_7,2539.40234375,2017,2
DURG_8,0.23091930150985718,2017,2
DURG_9,1359.59228515625,2017,2
DURG_10,480.426513671875,2017,2
DURG_1,7569.73828125,2017,3
DURG_2,107.57511901855469,2017,3
