,0,reporting_year,reporting_number
DURG_1,10873.76171875,2015,1
DURG_2,0.626663863658905,2015,1
DURG_3,1087.892578125,2015,1
DURG_4,4946.0185546875,2015,1
DURG_5,2086.2265625,2015,1
DURG_6,16848.16796875,2015,1
DURG_7,2078.705078125,2015,1
DURG_8,260.2960205078125,2015,1
DURG_9,1041.3310546875,2015,1
DURG_10,1153.488037109375,2015,1
DURG_1,73409.7421875,2015,1
DURG_2,0.022834351286292076,2015,1
DURG_3,6010.5322265625,2015,1
DURG_4,1176.87060546875,2015,1
DURG_5,4645.865234375,2015,1
DURG_6,10990.44921875,2015,1
DURG_7,3440.025390625,2015,1
DURG_8,327.23760986328125,2015,1
DURG_9,2147.62744140625,2015,1
DURG_10,2503.16650390625,2015,1
DURG_1,7494.55078125,2015,1
DURG_2,196.12986755371094,2015,1
DURG_3,2174.4130859375,2015,1
DURG_4,16367.833984375,2015,1
DURG_5,7006.9443359375,2015,1
DURG_6,7213.15234375,2015,1
DURG_7,2060.728515625,2015,1
DURG_8,105.10547637939453,2015,1
DURG_9,3777.361083984375,2015,1
DURG_10,1850.812255859375,2015,1
DURG_1,74106.828125,2015,1
DURG_2,0.0418686643242836,2015,1
DURG_3,26114.28125,2015,1
DURG_4,20906.814453125,2015,1
DURG_5,12864.4833984375,2015,1
DURG_6,41397.65625,2015,1
DURG_7,27731.603515625,2015,1
DURG_8,0.045739319175481796,2015,1
DURG_9,3528.505126953125,2015,1
DURG_10,5245.8369140625,2015,1
DURG_1,9479.1484375,2015,2
DURG_2,0.005967220291495323,2015,2
DURG_3,695.962890625,2015,2
DURG_4,4321.4404296875,2015,2
DURG_5,869.0693359375,2015,2
DURG_6,13428.53125,2015,2
DURG_7,3054.794921875,2015,2
DURG_8,260.4709777832031,2015,2
DURG_9,1062.14306640625,2015,2
DURG_10,929.93212890625,2015,2
DURG_1,10741.0,2015,2
DURG_2,0.02242024429142475,2015,2
DURG_3,6211.1611328125,2015,2
DURG_4,961.03369140625,2015,2
DURG_5,5378.59326171875,2015,2
DURG_6,42411.703125,2015,2
DURG_7,246.599609375,2015,2
DURG_8,192.9144744873047,2015,2
DURG_9,251.5419921875,2015,2
DURG_10,215.14013671875,2015,2
DURG_1,5299.69921875,2015,2
DURG_2,179.14759826660156,2015,2
DURG_3,13569.48046875,2015,2
DURG_4,17016.693359375,2015,2
DURG_5,4262.578125,2015,2
DURG_6,1485.08984375,2015,2
DURG_7,5747.28515625,2015,2
DURG_8,191.6971435546875,2015,2
DURG_9,2440.9892578125,2015,2
DURG_10,838.0946044921875,2015,2
DURG_1,74089.5546875,2015,2
DURG_2,0.033564597368240356,2015,2
DURG_3,26145.94140625,2015,2
DURG_4,20946.744140625,2015,2
DURG_5,12877.1845703125,2015,2
DURG_6,41397.47265625,2015,2
DURG_7,27881.22265625,2015,2
DURG_8,0.014114558696746826,2015,2
DURG_9,3310.00830078125,2015,2
DURG_10,5238.7607421875,2015,2
