,0,reporting_year,reporting_number
DURG_1,18976.875,2015,1
DURG_2,0.05869027599692345,2015,1
DURG_3,235.67578125,2015,1
DURG_4,4098.3759765625,2015,1
DURG_5,507.3232421875,2015,1
DURG_6,14627.79296875,2015,1
DURG_7,2803.71875,2015,1
DURG_8,260.3175964355469,2015,1
DURG_9,1041.3310546875,2015,1
DURG_10,1410.3739013671875,2015,1
DURG_1,15133.1953125,2015,1
DURG_2,0.15403491258621216,2015,1
DURG_3,7268.0927734375,2015,1
DURG_4,1092.0908203125,2015,1
DURG_5,7079.69384765625,2015,1
DURG_6,13590.91015625,2015,1
DURG_7,4489.5546875,2015,1
DURG_8,95.72802734375,2015,1
DURG_9,750.03173828125,2015,1
DURG_10,1672.0615234375,2015,1
DURG_1,9479.1484375,2015,2
DURG_2,0.05260813608765602,2015,2
DURG_3,1103.74609375,2015,2
DURG_4,3415.693359375,2015,2
DURG_5,869.0693359375,2015,2
DURG_6,13764.8515625,2015,2
DURG_7,2239.458984375,2015,2
DURG_8,260.0865783691406,2015,2
DURG_9,1062.14306640625,2015,2
DURG_10,1128.18896484375,2015,2
DURG_1,10743.12109375,2015,2
DURG_2,0.2512515187263489,2015,2
DURG_3,10906.3271484375,2015,2
DURG_4,1145.0693359375,2015,2
DURG_5,3180.7763671875,2015,2
DURG_6,11547.54296875,2015,2
DURG_7,205.7265625,2015,2
DURG_8,129.56454467773438,2015,2
DURG_9,1515.818603515625,2015,2
DURG_10,1264.19287109375,2015,2
DURG_1,16770.34765625,2015,3
DURG_2,0.4898243248462677,2015,3
DURG_3,1164.123046875,2015,3
DURG_4,4349.982421875,2015,3
DURG_5,1729.044921875,2015,3
DURG_6,13380.59375,2015,3
DURG_7,3697.970703125,2015,3
DURG_8,260.07073974609375,2015,3
DURG_9,1472.52490234375,2015,3
DURG_10,1022.591796875,2015,3
DURG_1,8277.32421875,2015,3
DURG_2,0.2242860496044159,2015,3
DURG_3,10967.90234375,2015,3
DURG_4,1152.4697265625,2015,3
DURG_5,11535.7255859375,2015,3
DURG_6,12652.2890625,2015,3
DURG_7,4278.431640625,2015,3
DURG_8,114.17778778076172,2015,3
DURG_9,2378.150390625,2015,3
DURG_10,499.674072265625,2015,3
DURG_1,10573.08203125,2015,4
DURG_2,0.3654659688472748,2015,4
DURG_3,386.826171875,2015,4
DURG_4,3619.556640625,2015,4
DURG_5,4526.9013671875,2015,4
DURG_6,18259.1171875,2015,4
DURG_7,1742.78125,2015,4
DURG_8,260.4666748046875,2015,4
DURG_9,926.328125,2015,4
DURG_10,745.067138671875,2015,4
DURG_1,19017.0625,2015,4
DURG_2,0.4676472544670105,2015,4
DURG_3,12504.1201171875,2015,4
DURG_4,763.674560546875,2015,4
DURG_5,2715.58984375,2015,4
DURG_6,21051.42578125,2015,4
DURG_7,5674.169921875,2015,4
DURG_8,118.51970672607422,2015,4
DURG_9,1636.251708984375,2015,4
DURG_10,1462.4462890625,2015,4
