,0,reporting_year,reporting_number
DURG_1,10814.80859375,2016,1
DURG_2,0.00256640138104558,2016,1
DURG_3,2493.611328125,2016,1
DURG_4,11251.310546875,2016,1
DURG_5,573.93603515625,2016,1
DURG_6,769.734375,2016,1
DURG_7,679.00390625,2016,1
DURG_8,259.7423095703125,2016,1
DURG_9,1037.96240234375,2016,1
DURG_10,228.37841796875,2016,1
DURG_1,7213.5625,2016,1
DURG_2,199.1729278564453,2016,1
DURG_3,8735.1806640625,2016,1
DURG_4,13377.4853515625,2016,1
DURG_5,11664.5009765625,2016,1
DURG_6,42473.5546875,2016,1
DURG_7,1334.478515625,2016,1
DURG_8,647.1922607421875,2016,1
DURG_9,622.666015625,2016,1
DURG_10,296.2724609375,2016,1
DURG_1,11652.66015625,2016,2
DURG_2,0.13573990762233734,2016,2
DURG_3,3154.787109375,2016,2
DURG_4,11369.880859375,2016,2
DURG_5,1779.056640625,2016,2
DURG_6,1157.640625,2016,2
DURG_7,1236.029296875,2016,2
DURG_8,255.1448516845703,2016,2
DURG_9,769.857666015625,2016,2
DURG_10,255.426513671875,2016,2
DURG_1,15649.33203125,2016,2
DURG_2,183.3990020751953,2016,2
DURG_3,8658.8134765625,2016,2
DURG_4,12878.609375,2016,2
DURG_5,4465.197265625,2016,2
DURG_6,14580.94921875,2016,2
DURG_7,445.1796875,2016,2
DURG_8,621.2060546875,2016,2
DURG_9,705.77099609375,2016,2
DURG_10,762.454345703125,2016,2
DURG_1,13001.43359375,2016,3
DURG_2,0.306075781583786,2016,3
DURG_3,3057.33984375,2016,3
DURG_4,11027.673828125,2016,3
DURG_5,1431.990234375,2016,3
DURG_6,700.11328125,2016,3
DURG_7,2830.205078125,2016,3
DURG_8,256.09490966796875,2016,3
DURG_9,837.640380859375,2016,3
DURG_10,357.5849609375,2016,3
DURG_1,17209.89453125,2016,3
DURG_2,185.70809936523438,2016,3
DURG_3,9806.1669921875,2016,3
DURG_4,13751.3115234375,2016,3
DURG_5,3861.986328125,2016,3
DURG_6,14075.140625,2016,3
DURG_7,1008.619140625,2016,3
DURG_8,502.2649230957031,2016,3
DURG_9,550.1455078125,2016,3
DURG_10,76.519287109375,2016,3
DURG_1,5302.9921875,2016,4
DURG_2,0.38119035959243774,2016,4
DURG_3,3454.830078125,2016,4
DURG_4,11218.474609375,2016,4
DURG_5,3378.1103515625,2016,4
DURG_6,2538.2578125,2016,4
DURG_7,2973.1328125,2016,4
DURG_8,245.1619415283203,2016,4
DURG_9,873.231201171875,2016,4
DURG_10,248.134521484375,2016,4
DURG_1,16357.1953125,2016,4
DURG_2,185.98403930664062,2016,4
DURG_3,7126.9033203125,2016,4
DURG_4,12782.484375,2016,4
DURG_5,4372.861328125,2016,4
DURG_6,17741.69140625,2016,4
DURG_7,1121.6328125,2016,4
DURG_8,618.9533081054688,2016,4
DURG_9,116.388671875,2016,4
DURG_10,769.3662109375,2016,4
DURG_1,7466.97265625,2017,1
DURG_2,155.7709503173828,2017,1
DURG_3,838.294921875,2017,1
DURG_4,630.17578125,2017,1
DURG_5,494.05224609375,2017,1
DURG_6,1382.265625,2017,1
DURG_7,1897.396484375,2017,1
DURG_8,104.981201171875,2017,1
DURG_9,613.22314453125,2017,1
DURG_10,576.5224609375,2017,1
DURG_1,17494.875,2017,1
DURG_2,0.001966176088899374,2017,1
DURG_3,189.5908203125,2017,1
DURG_4,202.729248046875,2017,1
DURG_5,8590.5107421875,2017,1
DURG_6,13063.134765625,2017,1
DURG_7,1923.6875,2017,1
DURG_8,0.08638399094343185,2017,1
DURG_9,416.0927734375,2017,1
DURG_10,145.546142578125,2017,1
DURG_1,4607.3515625,2017,2
DURG_2,162.4323272705078,2017,2
DURG_3,787.609375,2017,2
DURG_4,2182.7626953125,2017,2
DURG_5,52.95556640625,2017,2
DURG_6,4325.49609375,2017,2
DURG_7,2064.4765625,2017,2
DURG_8,124.23690795898438,2017,2
DURG_9,297.41455078125,2017,2
DURG_10,33.713134765625,2017,2
DURG_1,11389.36328125,2017,2
DURG_2,0.024438366293907166,2017,2
DURG_3,2287.4912109375,2017,2
DURG_4,167.80712890625,2017,2
DURG_5,8710.2783203125,2017,2
DURG_6,11232.701171875,2017,2
DURG_7,3295.734375,2017,2
DURG_8,0.1515391618013382,2017,2
DURG_9,51.27685546875,2017,2
DURG_10,139.16748046875,2017,2
DURG_1,8255.60546875,2017,3
DURG_2,91.21063995361328,2017,3
DURG_3,1830.318359375,2017,3
DURG_4,827.994140625,2017,3
DURG_5,294.357421875,2017,3
DURG_6,1125.89453125,2017,3
DURG_7,1533.90625,2017,3
DURG_8,133.02450561523438,2017,3
DURG_9,895.6298828125,2017,3
DURG_10,298.34912109375,2017,3
DURG_1,11240.34375,2017,3
