,0,reporting_year,reporting_number
DURG_1,11804.66015625,2016,1
DURG_2,0.3893018662929535,2016,1
DURG_3,2002.71484375,2016,1
DURG_4,11238.7861328125,2016,1
DURG_5,2136.99609375,2016,1
DURG_6,1591.984375,2016,1
DURG_7,3003.78515625,2016,1
DURG_8,260.3652648925781,2016,1
DURG_9,1616.76904296875,2016,1
DURG_10,688.295166015625,2016,1
DURG_1,15568.46875,2016,1
DURG_2,183.59646606445312,2016,1
DURG_3,6564.5556640625,2016,1
DURG_4,12472.306640625,2016,1
DURG_5,7757.84814453125,2016,1
DURG_6,11540.79296875,2016,1
DURG_7,1869.40234375,2016,1
DURG_8,467.5509948730469,2016,1
DURG_9,1.470703125,2016,1
DURG_10,196.240478515625,2016,1
DURG_1,12304.00390625,2016,2
DURG_2,0.10248996317386627,2016,2
DURG_3,2155.296875,2016,2
DURG_4,11266.298828125,2016,2
DURG_5,3864.21875,2016,2
DURG_6,557.421875,2016,2
DURG_7,3338.7109375,2016,2
DURG_8,257.97467041015625,2016,2
DURG_9,921.31103515625,2016,2
DURG_10,522.716064453125,2016,2
DURG_1,24175.46484375,2016,2
DURG_2,184.53321838378906,2016,2
DURG_3,7613.3798828125,2016,2
DURG_4,11844.412109375,2016,2
DURG_5,2942.232421875,2016,2
DURG_6,7784.94921875,2016,2
DURG_7,2218.2265625,2016,2
DURG_8,590.22998046875,2016,2
DURG_9,321.7919921875,2016,2
DURG_10,14.66015625,2016,2
DURG_1,10994.80859375,2016,3
DURG_2,0.05024486780166626,2016,3
DURG_3,2402.9140625,2016,3
DURG_4,11243.658203125,2016,3
DURG_5,2616.5400390625,2016,3
DURG_6,1503.49609375,2016,3
DURG_7,3426.69140625,2016,3
DURG_8,259.0190734863281,2016,3
DURG_9,448.25146484375,2016,3
DURG_10,197.21728515625,2016,3
DURG_1,20890.5078125,2016,3
DURG_2,49.601322174072266,2016,3
DURG_3,10504.9072265625,2016,3
DURG_4,11691.6650390625,2016,3
DURG_5,3588.705078125,2016,3
DURG_6,8159.71875,2016,3
DURG_7,1726.203125,2016,3
DURG_8,517.060791015625,2016,3
DURG_9,604.80322265625,2016,3
DURG_10,314.397705078125,2016,3
DURG_1,11016.6015625,2016,4
DURG_2,0.07825808227062225,2016,4
DURG_3,3786.9296875,2016,4
DURG_4,11293.4921875,2016,4
DURG_5,2903.76953125,2016,4
DURG_6,1206.26953125,2016,4
DURG_7,2923.78125,2016,4
DURG_8,244.87326049804688,2016,4
DURG_9,740.9345703125,2016,4
DURG_10,144.02783203125,2016,4
DURG_1,24861.6640625,2016,4
DURG_2,180.50840759277344,2016,4
DURG_3,8523.7685546875,2016,4
DURG_4,12641.5869140625,2016,4
DURG_5,4534.84228515625,2016,4
DURG_6,13722.5390625,2016,4
DURG_7,2581.154296875,2016,4
DURG_8,555.129638671875,2016,4
DURG_9,736.84130859375,2016,4
DURG_10,1274.3203125,2016,4
DURG_1,4470.07421875,2017,1
DURG_2,137.46116638183594,2017,1
DURG_3,499.37890625,2017,1
DURG_4,140.125,2017,1
DURG_5,158.44921875,2017,1
DURG_6,134.2734375,2017,1
DURG_7,581.859375,2017,1
DURG_8,327.15374755859375,2017,1
DURG_9,742.58251953125,2017,1
DURG_10,528.13037109375,2017,1
DURG_1,10622.578125,2017,1
DURG_2,0.12384353578090668,2017,1
DURG_3,4592.47412109375,2017,1
DURG_4,9.2939453125,2017,1
DURG_5,2904.8779296875,2017,1
DURG_6,11306.9453125,2017,1
DURG_7,1250.28125,2017,1
DURG_8,0.22865906357765198,2017,1
DURG_9,944.73291015625,2017,1
DURG_10,101.517578125,2017,1
DURG_1,4602.27734375,2017,2
DURG_2,177.43641662597656,2017,2
DURG_3,1266.3359375,2017,2
DURG_4,464.0,2017,2
DURG_5,69.80517578125,2017,2
DURG_6,533.28125,2017,2
DURG_7,710.7578125,2017,2
DURG_8,306.635009765625,2017,2
DURG_9,403.7822265625,2017,2
DURG_10,275.6943359375,2017,2
DURG_1,10459.484375,2017,2
DURG_2,0.003150593489408493,2017,2
DURG_3,332.1435546875,2017,2
DURG_4,243.48193359375,2017,2
DURG_5,2057.04296875,2017,2
DURG_6,9709.62890625,2017,2
DURG_7,755.36328125,2017,2
DURG_8,0.1520330160856247,2017,2
DURG_9,1077.478515625,2017,2
DURG_10,13.7744140625,2017,2
DURG_1,3761.390625,2017,3
DURG_2,230.97216796875,2017,3
DURG_3,169.43359375,2017,3
DURG_4,109.2392578125,2017,3
DURG_5,96.43017578125,2017,3
DURG_6,1082.125,2017,3
DURG_7,539.224609375,2017,3
DURG_8,193.60763549804688,2017,3
DURG_9,379.48681640625,2017,3
DURG_10,493.516845703125,2017,3
DURG_1,9382.84375,2017,3
DURG_2,0.030652523040771484,2017,3
DURG_3,1972.38671875,2017,3
DURG_4,211.6416015625,2017,3
DURG_5,230.9775390625,2017,3
DURG_6,12289.314453125,2017,3
DURG_7,186.982421875,2017,3
DURG_8,0.3828680217266083,2017,3
DURG_9,1184.622314453125,2017,3
DURG_10,179.3125,2017,3
DURG_1,1410.109375,2017,4
DURG_2,58.25754928588867,2017,4
DURG_3,463.15234375,2017,4
DURG_4,12.091796875,2017,4
DURG_5,151.16748046875,2017,4
DURG_6,1124.8125,2017,4
DURG_7,869.361328125,2017,4
DURG_8,75.77566528320312,2017,4
DURG_9,97.119140625,2017,4
DURG_10,288.83984375,2017,4
DURG_1,7733.0625,2017,4
DURG_2,0.019598785787820816,2017,4
DURG_3,356.814453125,2017,4
DURG_4,72.11083984375,2017,4
DURG_5,2343.109375,2017,4
DURG_6,10842.2265625,2017,4
DURG_7,318.890625,2017,4
DURG_8,0.20287387073040009,2017,4
DURG_9,837.15966796875,2017,4
DURG_10,230.751953125,2017,4
