,0,reporting_year,reporting_number
DURG_1,66846.265625,2010,1
DURG_2,0.7150955200195312,2010,1
DURG_3,2645.142578125,2010,1
DURG_4,14673.2080078125,2010,1
DURG_5,3545.40234375,2010,1
DURG_6,22706.57421875,2010,1
DURG_7,9260.91796875,2010,1
DURG_8,260.56475830078125,2010,1
DURG_9,5799.38134765625,2010,1
DURG_10,408.626953125,2010,1
DURG_1,10551.25,2010,1
DURG_2,20.091249465942383,2010,1
DURG_3,11862.7880859375,2010,1
DURG_4,30626.5703125,2010,1
DURG_5,8781.64453125,2010,1
DURG_6,17086.62109375,2010,1
DURG_7,8109.833984375,2010,1
DURG_8,1.3268465995788574,2010,1
DURG_9,7729.21240234375,2010,1
DURG_10,10916.865234375,2010,1
DURG_1,49791.87109375,2010,2
DURG_2,1.0874112844467163,2010,2
DURG_3,2609.6484375,2010,2
DURG_4,14909.3935546875,2010,2
DURG_5,3135.07373046875,2010,2
DURG_6,19884.01171875,2010,2
DURG_7,8970.3720703125,2010,2
DURG_8,259.2304382324219,2010,2
DURG_9,6578.20947265625,2010,2
DURG_10,409.373291015625,2010,2
DURG_1,32488.9609375,2010,2
DURG_2,24.161191940307617,2010,2
DURG_3,11605.1728515625,2010,2
DURG_4,21420.015625,2010,2
DURG_5,8748.78515625,2010,2
DURG_6,22385.7734375,2010,2
DURG_7,7436.41796875,2010,2
DURG_8,1.3853894472122192,2010,2
DURG_9,10855.958984375,2010,2
DURG_10,8043.47314453125,2010,2
DURG_1,48088.58984375,2010,3
DURG_2,0.24120540916919708,2010,3
DURG_3,1034.931640625,2010,3
DURG_4,14808.814453125,2010,3
DURG_5,3239.40771484375,2010,3
DURG_6,17533.48046875,2010,3
DURG_7,8864.2119140625,2010,3
DURG_8,259.398681640625,2010,3
DURG_9,6109.92333984375,2010,3
DURG_10,368.26806640625,2010,3
DURG_1,63260.2421875,2010,3
DURG_2,28.998449325561523,2010,3
DURG_3,10835.2080078125,2010,3
DURG_4,30306.73046875,2010,3
DURG_5,8696.8740234375,2010,3
DURG_6,23363.58203125,2010,3
DURG_7,6460.244140625,2010,3
DURG_8,0.09406238794326782,2010,3
DURG_9,15841.732421875,2010,3
DURG_10,6739.96435546875,2010,3
DURG_1,7610.1640625,2010,4
DURG_2,0.49931958317756653,2010,4
DURG_3,1033.537109375,2010,4
DURG_4,14753.4375,2010,4
DURG_5,2948.5458984375,2010,4
DURG_6,18426.66015625,2010,4
DURG_7,9128.533203125,2010,4
DURG_8,257.2632141113281,2010,4
DURG_9,5780.48291015625,2010,4
DURG_10,433.367431640625,2010,4
DURG_1,100723.3984375,2010,4
DURG_2,66.72300720214844,2010,4
DURG_3,10559.4013671875,2010,4
DURG_4,69384.671875,2010,4
DURG_5,8481.9453125,2010,4
DURG_6,23695.02734375,2010,4
DURG_7,5815.90234375,2010,4
DURG_8,2.3425402641296387,2010,4
DURG_9,17583.2421875,2010,4
DURG_10,4544.353515625,2010,4
DURG_1,115312.3125,2011,1
DURG_2,324.3290710449219,2011,1
DURG_3,4822.33203125,2011,1
DURG_4,60889.55078125,2011,1
DURG_5,4201.09228515625,2011,1
DURG_6,8848.49609375,2011,1
DURG_7,8796.2939453125,2011,1
DURG_8,259.5744934082031,2011,1
DURG_9,12625.779296875,2011,1
DURG_10,3970.415771484375,2011,1
DURG_1,26801.5546875,2011,1
DURG_2,0.5526737570762634,2011,1
DURG_3,9931.3505859375,2011,1
DURG_4,33120.7578125,2011,1
DURG_5,8368.20703125,2011,1
DURG_6,1819.14453125,2011,1
DURG_7,9123.99609375,2011,1
DURG_8,2.4715540409088135,2011,1
DURG_9,828.16845703125,2011,1
DURG_10,1.54931640625,2011,1
DURG_1,111514.890625,2011,2
DURG_2,359.1159973144531,2011,2
DURG_3,1170.24609375,2011,2
DURG_4,179338.859375,2011,2
DURG_5,4191.9697265625,2011,2
DURG_6,3602.80078125,2011,2
DURG_7,8197.3056640625,2011,2
DURG_8,258.23876953125,2011,2
DURG_9,12045.796875,2011,2
DURG_10,5512.65234375,2011,2
DURG_1,17582.140625,2011,2
DURG_2,0.5595608949661255,2011,2
DURG_3,10131.6083984375,2011,2
DURG_4,37240.640625,2011,2
DURG_5,8229.6689453125,2011,2
DURG_6,9385.61328125,2011,2
DURG_7,9020.015625,2011,2
DURG_8,0.9300353527069092,2011,2
DURG_9,1670.4033203125,2011,2
DURG_10,272.36083984375,2011,2
DURG_1,33954.19921875,2011,3
DURG_2,259.5981750488281,2011,3
DURG_3,2050.921875,2011,3
DURG_4,129631.671875,2011,3
DURG_5,4148.5849609375,2011,3
DURG_6,2674.78515625,2011,3
DURG_7,8829.349609375,2011,3
DURG_8,259.7789611816406,2011,3
DURG_9,11466.48046875,2011,3
DURG_10,4071.835693359375,2011,3
DURG_1,2371.546875,2011,3
DURG_2,0.4845443367958069,2011,3
DURG_3,9564.8798828125,2011,3
DURG_4,33145.734375,2011,3
DURG_5,7680.68359375,2011,3
DURG_6,740.10546875,2011,3
DURG_7,9036.9931640625,2011,3
DURG_8,1.798279881477356,2011,3
DURG_9,2150.14013671875,2011,3
DURG_10,108.162109375,2011,3
DURG_1,34146.64453125,2011,4
DURG_2,165.37001037597656,2011,4
DURG_3,2108.970703125,2011,4
DURG_4,162803.734375,2011,4
DURG_5,4131.921875,2011,4
DURG_6,3903.34765625,2011,4
DURG_7,8257.240234375,2011,4
DURG_8,258.89385986328125,2011,4
DURG_9,15524.392578125,2011,4
DURG_10,211.12109375,2011,4
DURG_1,12815.078125,2011,4
DURG_2,0.3266142010688782,2011,4
DURG_3,9947.5908203125,2011,4
DURG_4,47412.875,2011,4
DURG_5,7265.9609375,2011,4
DURG_6,383.12890625,2011,4
DURG_7,9677.9716796875,2011,4
DURG_8,2.255551815032959,2011,4
DURG_9,2082.025390625,2011,4
DURG_10,151.30078125,2011,4
DURG_1,29198.73046875,2012,1
DURG_2,0.3717065453529358,2012,1
DURG_3,13.041015625,2012,1
DURG_4,460.6650390625,2012,1
DURG_5,3093.70263671875,2012,1
DURG_6,26497.7265625,2012,1
DURG_7,11667.2880859375,2012,1
DURG_8,260.3769836425781,2012,1
DURG_9,11029.255859375,2012,1
DURG_10,1082.6376953125,2012,1
DURG_1,41067.34375,2012,1
DURG_2,0.09535596519708633,2012,1
DURG_3,11624.5302734375,2012,1
DURG_4,10288.658203125,2012,1
DURG_5,8329.947265625,2012,1
DURG_6,15018.5390625,2012,1
DURG_7,3805.08984375,2012,1
DURG_8,0.07096680253744125,2012,1
DURG_9,1242.982421875,2012,1
DURG_10,106.7333984375,2012,1
DURG_1,10237.2734375,2012,2
DURG_2,0.21610219776630402,2012,2
DURG_3,300.43359375,2012,2
DURG_4,300.103515625,2012,2
DURG_5,164.5029296875,2012,2
DURG_6,28576.091796875,2012,2
DURG_7,12307.7529296875,2012,2
DURG_8,257.30047607421875,2012,2
DURG_9,13028.732421875,2012,2
DURG_10,2030.137451171875,2012,2
DURG_1,51568.234375,2012,2
DURG_2,0.1476522833108902,2012,2
DURG_3,12058.7939453125,2012,2
DURG_4,11553.029296875,2012,2
DURG_5,8132.10400390625,2012,2
DURG_6,13728.46875,2012,2
DURG_7,3758.734375,2012,2
DURG_8,1.277653694152832,2012,2
DURG_9,1807.46044921875,2012,2
DURG_10,148.974609375,2012,2
DURG_1,12931.7109375,2012,3
DURG_2,0.1631314605474472,2012,3
DURG_3,1890.79296875,2012,3
DURG_4,922.455078125,2012,3
DURG_5,280.14990234375,2012,3
DURG_6,30399.5390625,2012,3
DURG_7,12047.0693359375,2012,3
DURG_8,260.19476318359375,2012,3
DURG_9,16645.1875,2012,3
DURG_10,1723.2252197265625,2012,3
DURG_1,46617.109375,2012,3
DURG_2,0.23924683034420013,2012,3
DURG_3,12134.9580078125,2012,3
DURG_4,11464.341796875,2012,3
DURG_5,8075.310546875,2012,3
DURG_6,12895.056640625,2012,3
DURG_7,3964.833984375,2012,3
DURG_8,0.6919237971305847,2012,3
DURG_9,2452.02294921875,2012,3
DURG_10,99.8935546875,2012,3
DURG_1,10436.2109375,2012,4
DURG_2,0.12333476543426514,2012,4
DURG_3,414.58984375,2012,4
DURG_4,6870.095703125,2012,4
DURG_5,581.70703125,2012,4
DURG_6,28663.833984375,2012,4
DURG_7,12260.8251953125,2012,4
DURG_8,260.7530822753906,2012,4
DURG_9,16199.28515625,2012,4
DURG_10,1763.448974609375,2012,4
DURG_1,58569.4921875,2012,4
DURG_2,0.17755897343158722,2012,4
DURG_3,12377.6650390625,2012,4
DURG_4,11545.8759765625,2012,4
DURG_5,8347.9619140625,2012,4
DURG_6,11922.080078125,2012,4
DURG_7,2661.080078125,2012,4
DURG_8,0.44920358061790466,2012,4
DURG_9,5983.64208984375,2012,4
DURG_10,82.317138671875,2012,4
DURG_1,29693.16796875,2013,1
DURG_2,0.2837873101234436,2013,1
DURG_3,3150.42578125,2013,1
DURG_4,7911.26953125,2013,1
DURG_5,2723.52197265625,2013,1
DURG_6,27337.701171875,2013,1
DURG_7,3591.4296875,2013,1
DURG_8,259.8658752441406,2013,1
DURG_9,8503.068359375,2013,1
DURG_10,866.805419921875,2013,1
DURG_1,5541.8984375,2013,1
DURG_2,0.08157848566770554,2013,1
DURG_3,14827.9482421875,2013,1
DURG_4,18667.89453125,2013,1
DURG_5,6883.93701171875,2013,1
DURG_6,10872.66015625,2013,1
DURG_7,6472.625,2013,1
DURG_8,0.11266547441482544,2013,1
DURG_9,4410.96142578125,2013,1
DURG_10,243.05517578125,2013,1
DURG_1,31603.92578125,2013,2
DURG_2,0.1555238515138626,2013,2
DURG_3,2947.32421875,2013,2
DURG_4,7868.4912109375,2013,2
DURG_5,2765.4794921875,2013,2
DURG_6,28971.095703125,2013,2
DURG_7,5061.52734375,2013,2
DURG_8,260.66796875,2013,2
DURG_9,7729.06884765625,2013,2
DURG_10,704.149658203125,2013,2
DURG_1,3185.1328125,2013,2
DURG_2,0.11719044297933578,2013,2
DURG_3,14306.2236328125,2013,2
DURG_4,17616.36328125,2013,2
DURG_5,7032.1484375,2013,2
DURG_6,13434.728515625,2013,2
DURG_7,928.857421875,2013,2
DURG_8,0.05144796147942543,2013,2
DURG_9,1661.60498046875,2013,2
DURG_10,340.117431640625,2013,2
DURG_1,24711.57421875,2013,3
DURG_2,0.07564648985862732,2013,3
DURG_3,3506.724609375,2013,3
DURG_4,7873.5400390625,2013,3
DURG_5,2472.044921875,2013,3
DURG_6,29655.583984375,2013,3
DURG_7,6063.216796875,2013,3
DURG_8,260.8140563964844,2013,3
DURG_9,7442.18408203125,2013,3
DURG_10,785.32421875,2013,3
DURG_1,15207.02734375,2013,3
