,0,reporting_year,reporting_number
DURG_1,35164.82421875,2012,1
DURG_2,0.08017562329769135,2012,1
DURG_3,2879.654296875,2012,1
DURG_4,54489.75,2012,1
DURG_5,3372.03271484375,2012,1
DURG_6,26820.150390625,2012,1
DURG_7,11921.986328125,2012,1
DURG_8,259.5118103027344,2012,1
DURG_9,11644.294921875,2012,1
DURG_10,703.50634765625,2012,1
DURG_1,22653.94140625,2012,1
DURG_2,0.3975520730018616,2012,1
DURG_3,11342.2822265625,2012,1
DURG_4,31858.8125,2012,1
DURG_5,8375.107421875,2012,1
DURG_6,14306.23828125,2012,1
DURG_7,1939.064453125,2012,1
DURG_8,0.18673264980316162,2012,1
DURG_9,1263.21875,2012,1
DURG_10,60.303466796875,2012,1
DURG_1,25919.5234375,2012,1
DURG_2,0.8354837894439697,2012,1
DURG_3,10518.390625,2012,1
DURG_4,2275.763427734375,2012,1
DURG_5,6688.0576171875,2012,1
DURG_6,18500.392578125,2012,1
DURG_7,14079.9892578125,2012,1
DURG_8,105.96971893310547,2012,1
DURG_9,2319.01708984375,2012,1
DURG_10,508.1016845703125,2012,1
DURG_1,42155.4921875,2012,1
DURG_2,0.119813472032547,2012,1
DURG_3,3045.357421875,2012,1
DURG_4,20660.90234375,2012,1
DURG_5,9781.876953125,2012,1
DURG_6,10394.689453125,2012,1
DURG_7,16597.38671875,2012,1
DURG_8,0.058668866753578186,2012,1
DURG_9,701.138671875,2012,1
DURG_10,3158.656982421875,2012,1
DURG_1,31890.55859375,2012,2
DURG_2,0.10721511393785477,2012,2
DURG_3,2638.712890625,2012,2
DURG_4,65290.25,2012,2
DURG_5,3206.97607421875,2012,2
DURG_6,25238.212890625,2012,2
DURG_7,11178.3544921875,2012,2
DURG_8,260.8052673339844,2012,2
DURG_9,13112.322265625,2012,2
DURG_10,794.09228515625,2012,2
DURG_1,89890.1171875,2012,2
DURG_2,0.11701234430074692,2012,2
DURG_3,14285.3994140625,2012,2
DURG_4,30097.38671875,2012,2
DURG_5,8280.2724609375,2012,2
DURG_6,13104.6015625,2012,2
DURG_7,5527.5087890625,2012,2
DURG_8,2.3665287494659424,2012,2
DURG_9,2982.552734375,2012,2
DURG_10,95.35009765625,2012,2
DURG_1,24550.67578125,2012,2
DURG_2,0.7175793051719666,2012,2
DURG_3,10865.857421875,2012,2
DURG_4,2257.790283203125,2012,2
DURG_5,6741.01171875,2012,2
DURG_6,17505.27734375,2012,2
DURG_7,13354.5654296875,2012,2
DURG_8,105.83460998535156,2012,2
DURG_9,1930.203125,2012,2
DURG_10,568.7652587890625,2012,2
DURG_1,40533.41015625,2012,2
DURG_2,0.020885491743683815,2012,2
DURG_3,3084.029296875,2012,2
DURG_4,20590.498046875,2012,2
DURG_5,9709.7314453125,2012,2
DURG_6,10105.859375,2012,2
DURG_7,16408.169921875,2012,2
DURG_8,0.5152550935745239,2012,2
DURG_9,831.392578125,2012,2
DURG_10,2938.171630859375,2012,2
DURG_1,38300.73046875,2012,3
DURG_2,0.7970669269561768,2012,3
DURG_3,387.064453125,2012,3
DURG_4,96197.875,2012,3
DURG_5,3309.73291015625,2012,3
DURG_6,27725.875,2012,3
DURG_7,11309.248046875,2012,3
DURG_8,259.0632019042969,2012,3
DURG_9,14507.646484375,2012,3
DURG_10,899.836181640625,2012,3
DURG_1,79801.2265625,2012,3
DURG_2,0.7450905442237854,2012,3
DURG_3,12749.4228515625,2012,3
DURG_4,43386.3359375,2012,3
DURG_5,8110.732421875,2012,3
DURG_6,13161.587890625,2012,3
DURG_7,3954.642578125,2012,3
DURG_8,0.0666641816496849,2012,3
DURG_9,1009.77880859375,2012,3
DURG_10,256.943603515625,2012,3
DURG_1,23235.265625,2012,3
DURG_2,1.0699923038482666,2012,3
DURG_3,11615.369140625,2012,3
DURG_4,2150.753173828125,2012,3
DURG_5,6543.58251953125,2012,3
DURG_6,17643.81640625,2012,3
DURG_7,7605.7265625,2012,3
DURG_8,104.7605972290039,2012,3
DURG_9,1342.31494140625,2012,3
DURG_10,628.3255615234375,2012,3
DURG_1,40940.07421875,2012,3
DURG_2,0.12417426705360413,2012,3
DURG_3,3162.29296875,2012,3
DURG_4,20563.603515625,2012,3
DURG_5,9695.240234375,2012,3
DURG_6,10001.478515625,2012,3
DURG_7,16573.40625,2012,3
DURG_8,0.4158916771411896,2012,3
DURG_9,812.77392578125,2012,3
DURG_10,2910.9580078125,2012,3
DURG_1,41755.32421875,2012,4
DURG_2,0.036644451320171356,2012,4
DURG_3,360.16015625,2012,4
DURG_4,207823.53125,2012,4
DURG_5,3119.42724609375,2012,4
DURG_6,29373.9453125,2012,4
DURG_7,12036.4140625,2012,4
DURG_8,260.4613952636719,2012,4
DURG_9,17356.765625,2012,4
DURG_10,2059.93212890625,2012,4
DURG_1,123126.8984375,2012,4
DURG_2,0.2714105546474457,2012,4
DURG_3,16022.5166015625,2012,4
DURG_4,46412.28125,2012,4
DURG_5,8292.271484375,2012,4
DURG_6,13278.62890625,2012,4
DURG_7,3889.22265625,2012,4
DURG_8,0.4524422883987427,2012,4
DURG_9,3200.42041015625,2012,4
DURG_10,106.84765625,2012,4
DURG_1,23375.8984375,2012,4
DURG_2,1.0529247522354126,2012,4
DURG_3,11200.30078125,2012,4
DURG_4,119522.8125,2012,4
DURG_5,6458.19140625,2012,4
DURG_6,15298.3125,2012,4
DURG_7,9588.9365234375,2012,4
DURG_8,104.29347229003906,2012,4
DURG_9,676.12451171875,2012,4
DURG_10,695.4356689453125,2012,4
DURG_1,42049.5703125,2012,4
DURG_2,0.7192881107330322,2012,4
DURG_3,3032.21875,2012,4
DURG_4,20558.724609375,2012,4
DURG_5,9679.171875,2012,4
DURG_6,9815.00390625,2012,4
DURG_7,16599.1953125,2012,4
DURG_8,0.27817490696907043,2012,4
DURG_9,945.4365234375,2012,4
DURG_10,2915.908447265625,2012,4
